Id,Categoría,Pregunta,Opción A,Opción B,Correcta,Dificultad,Explicación
1264,Naturaleza,¿De qué color es la leche de los hipopótamos?,Blanca,Rosa,B,Media,Contiene ácidos que actúan como protector solar y antibiótico natural.
903,Historia,¿De qué material era la dentadura de Washington?,Madera,Marfil y dientes reales,B,Difícil,Era de marfil de hipopótamo y dientes humanos reales de esclavos.
1065,Inventos,¿Qué se inventó primero?,El abrelatas,La comida en conserva,B,Difícil,La conserva surgió en 1810; el abrelatas 48 años después (antes usaban martillo).
570,Espacio,¿A qué huele el centro de la Vía Láctea?,Azufre,Frambuesas y ron,B,Difícil,Por el formiato de etilo; compuesto que da olor al ron y sabor a frambuesa.
159,Biología,¿En qué parte tienen el gusto las mariposas?,Antenas,Patas,B,Media,Tienen sensores en las patas para saber si una planta es apta para poner huevos.
283,Cine,¿De qué color era originalmente Hulk?,Verde,Gris,B,Media,Stan Lee lo quería gris; pero por fallos de impresión pasó a ser verde.
36,Animales,¿Qué animal es incapaz de saltar?,Elefante,Hipopótamo,A,Fácil,Su peso y estructura ósea impiden que despegue las cuatro patas a la vez.
873,Geografía,¿Qué país tiene más pirámides?,Egipto,Sudán,B,Media,Sudán tiene 255 pirámides nubias; superando las 138 de Egipto.
246,Ciencia,¿Qué metal es líquido a temperatura ambiente?,Mercurio,Galio,A,Fácil,El mercurio es el único metal elemental líquido en condiciones estándar.
569,Empresas,¿Quién fabrica más neumáticos al año?,Michelin,LEGO,B,Media,LEGO fabrica más de 300 millones de mini-neumáticos anuales para sus sets.
57,Arquitectura,¿Color original de la Estatua de la Libertad?,Verde,Marrón cobrizo,B,Media,Es de cobre puro; el verde es una pátina protectora formada por la oxidación.
1310,Psicología,¿Cómo se llama ver caras en objetos?,Pareidolia,Afasia,A,Media,Es una respuesta cerebral evolutiva para detectar rostros rápidamente.
1083,Leyes,¿Es ilegal en Suiza tener un solo cobaya?,Sí,No,A,Difícil,Se considera maltrato porque son animales sociales que mueren de soledad.
1446,Tecnología,¿Material del primer ratón de PC?,Plástico,Madera,B,Media,Douglas Engelbart lo hizo en 1964 con una caja de madera y ruedas de metal.
792,Gastronomía,¿Qué es botánicamente el tomate?,Fruta,Verdura,A,Fácil,Es el ovario maduro de una planta con semillas; definición científica de fruta.
1239,Música,¿Qué instrumento tocaba Einstein?,Piano,Violín,B,Media,Tocaba el violín desde niño y decía que le ayudaba a resolver ecuaciones.
1300,Olimpiadas,¿De qué es la medalla de oro actual?,Oro puro,Plata bañada en oro,B,Difícil,Contiene un 92.5% de plata y solo unos 6 gramos de baño de oro.
19,Animales,¿Cuántos corazones tiene un pulpo?,Uno,Tres,B,Fácil,Dos bombean sangre a las branquias y uno al resto del cuerpo.
902,Historia,¿Cómo murió el filósofo Crisipo?,De risa,Por un rayo,A,Difícil,Murió de risa viendo a un burro borracho intentar comer higos.
171,Biología,¿Tienen los tiburones huesos?,Sí,No,B,Media,Su esqueleto es de cartílago; lo que los hace más ligeros y flexibles.
372,Cuerpo Humano,¿Cuántos huesos tiene un bebé al nacer?,206,300,B,Media,Muchos huesos se fusionan a medida que el niño crece hasta llegar a los 206.
819,Geografía,¿Cuál es el río más largo del mundo?,Nilo,Amazonas,B,Media,Aunque el Nilo es famoso; estudios recientes dan al Amazonas 6.992 km.
234,Ciencia,¿Qué animal vive más años?,Tortuga gigante,Tiburón de Groenlandia,B,Difícil,Este tiburón puede vivir más de 400 años en aguas árticas.
333,Cine,¿Quién es la voz de Darth Vader?,James Earl Jones,Morgan Freeman,A,Fácil,Su imponente voz profunda definió al villano más grande del cine.
1465,Tecnología,¿Qué significa GPS?,Global Positioning System,General Power System,A,Fácil,Es el sistema de posicionamiento global propiedad del gobierno de EE.UU.
1223,Música,¿Cuál es el álbum más vendido de la historia?,Thriller,The Dark Side of the Moon,A,Fácil,Michael Jackson vendió más de 66 millones de copias de este disco.
50,Animales,¿Qué ave vuela hacia atrás?,Águila,Colibrí,B,Fácil,Sus alas rotan en forma de ocho; permitiéndoles retroceder y mantenerse quietos.
1012,Historia,¿Quién pintó la Mona Lisa?,Miguel Ángel,Da Vinci,B,Fácil,Leonardo da Vinci trabajó en ella durante años; llevándola siempre consigo.
818,Geografía,¿Cuál es el país más pequeño?,Mónaco,Vaticano,B,Fácil,Con solo 0.44 km cuadrados; es el estado soberano más pequeño del mundo.
187,Ciencia,¿Cuál es el hueso más pequeño?,Estribo (oído),Falange (dedo),A,Media,Mide apenas 3 milímetros y está ubicado en el oído medio.
801,Gastronomía,¿Qué fruta flota por tener 25% de aire?,Pera,Manzana,B,Media,Su densidad es menor que la del agua debido a las cámaras de aire internas.
575,Espacio,¿Cuál es el planeta más caliente?,Mercurio,Venus,B,Media,Aunque Mercurio está más cerca del Sol; la atmósfera de Venus atrapa el calor.
279,Cine,¿Cómo se llamaba el perro de Tintín?,Milú,Idéfix,A,Fácil,Milú es el fiel Fox Terrier blanco que acompaña al reportero.
976,Historia,¿Quién descubrió la penicilina?,Fleming,Pasteur,A,Fácil,Alexander Fleming la descubrió por accidente al olvidar una placa de cultivo.
1468,Tecnología,¿Qué significa PDF?,Personal Data File,Portable Document Format,B,Media,Fue creado por Adobe para presentar documentos de forma independiente al software.
41,Animales,¿Qué animal tiene 4 narices?,Babosa,Lombriz,A,Difícil,En realidad tienen dos pares de tentáculos; uno para ver y otro para oler.
867,Geografía,¿Qué ciudad tiene más canales?,Venecia,Hamburgo,B,Difícil,Hamburgo tiene más de 2.300 puentes y más canales que Venecia y Ámsterdam juntas.
201,Ciencia,¿Es el sol una estrella?,Sí,No,A,Fácil,Es una enana amarilla que constituye el 99.8% de la masa del Sistema Solar.
954,Historia,¿Qué duró 116 años?,Guerra de los 100 años,Guerra de los 30 años,A,Media,Fue una serie de conflictos entre Inglaterra y Francia de 1337 a 1453.
414,Cultura,¿Cuál es el idioma con más palabras?,Español,Inglés,B,Media,El inglés tiene más de 250.000 palabras distintas debido a sus múltiples raíces.
22,Animales,¿De qué color es la piel del oso polar?,Blanca,Negra,B,Media,Su piel es negra para absorber el calor del sol; el pelo es hueco y transparente.
282,Cine,¿De qué color era el vestido de Dorothy?,Azul y blanco,Rojo y blanco,A,Fácil,"En ""El Mago de Oz"" (1939); el vestido de cuadros azules es icónico."
1467,Tecnología,"¿Qué significa la ""i"" en iPhone?",Individual,Internet,B,Media,Steve Jobs dijo que significaba Internet; individual; instruir; informar e inspirar.
755,Gastronomía,¿De dónde son las galletas de la fortuna?,China,Japón,B,Difícil,Se originaron en Japón y se popularizaron en EE.UU. por inmigrantes chinos.
233,Ciencia,¿Qué animal tiene tres párpados?,Humano,Camello,B,Media,El tercer párpado protege sus ojos de la arena del desierto.
1001,Historia,¿Quién inventó el código Morse?,Samuel Morse,Graham Bell,A,Fácil,Lo desarrolló junto a Alfred Vail para transmitir mensajes por telégrafo.
823,Geografía,¿Dónde está el desierto de Atacama?,Chile,México,A,Fácil,Es el lugar no polar más árido de la Tierra; ubicado en el norte de Chile.
327,Cine,"¿Quién dirigió ""Tiburón""?",George Lucas,Steven Spielberg,B,Fácil,"Fue el primer gran ""blockbuster"" de verano de la historia del cine."
37,Animales,¿Qué animal nunca duerme?,Tiburón,Hormiga,B,Difícil,Las hormigas tienen cientos de micro-siestas; pero nunca un sueño profundo largo.
913,Historia,¿En qué año cayó el Muro de Berlín?,1989,1991,A,Media,Simbolizó el fin de la Guerra Fría y la reunificación de Alemania.
239,Ciencia,¿Qué gas respiramos más?,Oxígeno,Nitrógeno,B,Media,La atmósfera tiene un 78% de nitrógeno y solo un 21% de oxígeno.
415,Cultura,¿Cuál es el libro más vendido?,La Biblia,Don Quijote,A,Fácil,Se estima que se han distribuido más de 5.000 millones de copias.
43,Animales,¿Qué animal tiene la lengua azul?,Jirafa,León,A,Media,Su lengua oscura la protege de quemaduras solares mientras come hojas.
274,Cine,¿Cómo se llama el robot dorado de Star Wars?,R2-D2,C-3PO,B,Fácil,Es el droide de protocolo que habla más de seis millones de formas de comunicación.
